Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH;Unnamed: 15;Unnamed: 16;year
2005-01-01;00.00.00;-200;1046.0;-200.0;4,2;724.0;-200.0;848.0;-200.0;898.0;1201.0;8,2;40,1;0,4375;;;2005
2005-01-01;01.00.00;1,6;1275.0;-200.0;8,8;930.0;215.0;649.0;106.0;1024.0;1617.0;5,3;50,7;0,4564;;;2005
2005-01-01;02.00.00;2,5;1173.0;-200.0;7,5;878.0;300.0;738.0;129.0;1002.0;1355.0;5,9;50,0;0,4689;;;2005
2005-01-01;03.00.00;2,7;1163.0;-200.0;7,6;881.0;-200.0;748.0;-200.0;1001.0;1296.0;4,9;53,9;0,4693;;;2005
2005-01-01;04.00.00;1,9;1054.0;-200.0;5,6;791.0;253.0;830.0;126.0;967.0;1131.0;4,3;55,3;0,4650;;;2005
2005-01-01;05.00.00;1,4;1004.0;-200.0;4,8;753.0;181.0;879.0;106.0;942.0;1036.0;4,2;57,1;0,4759;;;2005
2005-01-01;06.00.00;1,5;1001.0;-200.0;5,3;777.0;171.0;859.0;99.0;954.0;1009.0;3,5;58,3;0,4636;;;2005
2005-01-01;07.00.00;1,4;974.0;-200.0;4,5;736.0;168.0;888.0;97.0;945.0;966.0;3,0;60,7;0,4667;;;2005
2005-01-01;08.00.00;1,1;915.0;-200.0;3,0;653.0;169.0;973.0;94.0;905.0;901.0;2,6;63,2;0,4721;;;2005
2005-01-01;09.00.00;1,0;939.0;-200.0;3,0;649.0;145.0;996.0;86.0;897.0;879.0;3,9;59,0;0,4807;;;2005
2005-01-01;10.00.00;1,2;973.0;-200.0;4,7;748.0;190.0;878.0;97.0;968.0;991.0;4,7;57,2;0,4932;;;2005
2005-01-01;11.00.00;1,7;1011.0;-200.0;5,4;782.0;225.0;846.0;113.0;992.0;1019.0;6,8;48,6;0,4822;;;2005
2005-01-01;12.00.00;2,3;1097.0;-200.0;7,4;875.0;261.0;778.0;125.0;1080.0;1151.0;8,6;43,6;0,4887;;;2005
2005-01-01;13.00.00;2,2;1149.0;-200.0;8,4;914.0;382.0;742.0;147.0;1072.0;1242.0;9,5;41,2;0,4908;;;2005
2005-01-01;14.00.00;2,4;1117.0;-200.0;8,9;934.0;357.0;721.0;153.0;1075.0;1206.0;10,9;35,9;0,4680;;;2005
2005-01-01;15.00.00;2,2;1085.0;-200.0;7,9;896.0;299.0;760.0;147.0;1049.0;1138.0;12,5;32,3;0,4670;;;2005
2005-01-01;16.00.00;2,1;1102.0;-200.0;7,7;885.0;313.0;772.0;139.0;1051.0;1142.0;12,8;32,6;0,4814;;;2005
2005-01-01;17.00.00;3,0;1281.0;-200.0;12,1;1053.0;510.0;659.0;165.0;1192.0;1438.0;10,9;39,7;0,5166;;;2005
2005-01-01;18.00.00;4,7;1472.0;-200.0;16,6;1198.0;832.0;555.0;191.0;1344.0;1735.0;9,0;51,8;0,5961;;;2005
2005-01-01;19.00.00;3,6;1328.0;-200.0;11,4;1029.0;622.0;637.0;172.0;1188.0;1611.0;8,1;54,1;0,5882;;;2005
2005-01-01;20.00.00;2,5;1198.0;-200.0;7,9;897.0;402.0;720.0;151.0;1072.0;1436.0;7,8;54,6;0,5786;;;2005
2005-01-01;21.00.00;2,3;1176.0;-200.0;8,1;905.0;334.0;718.0;137.0;1104.0;1389.0;6,2;59,6;0,5698;;;2005
2005-01-01;22.00.00;2,1;1118.0;-200.0;6,4;830.0;295.0;765.0;130.0;1058.0;1313.0;5,7;59,9;0,5523;;;2005
2005-01-01;23.00.00;1,7;1091.0;-200.0;5,2;773.0;222.0;820.0;115.0;1003.0;1232.0;5,6;59,7;0,5463;;;2005
2005-01-02;00.00.00;1,8;1078.0;-200.0;5,2;775.0;230.0;809.0;112.0;1012.0;1195.0;4,7;62,9;0,5424;;;2005
2005-01-02;01.00.00;1,6;1043.0;-200.0;4,3;726.0;195.0;875.0;105.0;972.0;1107.0;4,5;63,5;0,5411;;;2005
2005-01-02;02.00.00;1,3;992.0;-200.0;3,6;685.0;167.0;916.0;96.0;963.0;1035.0;4,5;63,6;0,5414;;;2005
2005-01-02;03.00.00;1,3;1004.0;-200.0;4,5;739.0;-200.0;868.0;-200.0;1004.0;1030.0;3,1;70,0;0,5388;;;2005
2005-01-02;04.00.00;1,3;947.0;-200.0;3,3;673.0;148.0;929.0;87.0;974.0;929.0;3,2;68,3;0,5310;;;2005
2005-01-02;05.00.00;1,1;923.0;-200.0;2,7;634.0;123.0;984.0;75.0;943.0;875.0;3,1;69,2;0,5337;;;2005
2005-01-02;06.00.00;1,0;911.0;-200.0;2,4;613.0;148.0;992.0;82.0;934.0;861.0;2,4;71,9;0,5288;;;2005
2005-01-02;07.00.00;1,0;924.0;-200.0;2,6;629.0;143.0;994.0;83.0;941.0;852.0;3,1;68,7;0,5317;;;2005
2005-01-02;08.00.00;1,2;954.0;-200.0;3,4;674.0;180.0;940.0;88.0;981.0;891.0;2,1;73,1;0,5289;;;2005
2005-01-02;09.00.00;1,3;960.0;-200.0;3,9;704.0;226.0;887.0;106.0;1003.0;947.0;3,3;68,2;0,5346;;;2005
2005-01-02;10.00.00;1,6;1016.0;-200.0;4,9;760.0;254.0;835.0;112.0;1044.0;1016.0;4,1;65,8;0,5451;;;2005
2005-01-02;11.00.00;2,2;1139.0;-200.0;7,5;879.0;372.0;753.0;141.0;1092.0;1201.0;6,6;56,6;0,5528;;;2005
2005-01-02;12.00.00;2,2;1130.0;-200.0;7,1;860.0;379.0;752.0;148.0;1058.0;1218.0;8,0;51,2;0,5516;;;2005
2005-01-02;13.00.00;2,8;1237.0;-200.0;9,6;962.0;478.0;685.0;171.0;1138.0;1385.0;10,3;44,9;0,5612;;;2005
2005-01-02;14.00.00;2,1;1159.0;-200.0;6,5;837.0;344.0;742.0;160.0;1087.0;1311.0;12,3;41,7;0,5961;;;2005
2005-01-02;15.00.00;1,6;1124.0;-200.0;5,5;790.0;258.0;791.0;137.0;1071.0;1206.0;13,5;41,3;0,6342;;;2005
2005-01-02;16.00.00;2,8;1312.0;-200.0;10,5;998.0;474.0;640.0;167.0;1249.0;1473.0;13,4;43,1;0,6600;;;2005
2005-01-02;17.00.00;2,6;1246.0;-200.0;8,9;936.0;438.0;665.0;164.0;1182.0;1460.0;9,9;53,3;0,6504;;;2005
2005-01-02;18.00.00;2,8;1232.0;-200.0;8,8;931.0;451.0;674.0;166.0;1171.0;1627.0;8,9;54,6;0,6226;;;2005
2005-01-02;19.00.00;2,9;1286.0;-200.0;10,5;996.0;473.0;644.0;167.0;1217.0;1827.0;8,9;54,8;0,6244;;;2005
2005-01-02;20.00.00;3,4;1347.0;-200.0;13,0;1084.0;560.0;582.0;174.0;1290.0;2004.0;8,3;58,2;0,6391;;;2005
2005-01-02;21.00.00;2,9;-200.0;-200.0;-200,0;-200.0;470.0;-200.0;160.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-02;22.00.00;3,2;-200.0;-200.0;-200,0;-200.0;506.0;-200.0;169.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-02;23.00.00;3,1;-200.0;-200.0;-200,0;-200.0;482.0;-200.0;162.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;00.00.00;3,0;-200.0;-200.0;-200,0;-200.0;436.0;-200.0;149.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;01.00.00;3,4;-200.0;-200.0;-200,0;-200.0;472.0;-200.0;158.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;02.00.00;3,0;-200.0;-200.0;-200,0;-200.0;379.0;-200.0;143.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;03.00.00;2,7;-200.0;-200.0;-200,0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;04.00.00;-200;-200.0;-200.0;-200,0;-200.0;286.0;-200.0;121.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;05.00.00;1,1;-200.0;-200.0;-200,0;-200.0;155.0;-200.0;92.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;06.00.00;1,4;-200.0;-200.0;-200,0;-200.0;264.0;-200.0;102.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;07.00.00;1,8;-200.0;-200.0;-200,0;-200.0;366.0;-200.0;121.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;08.00.00;3,6;-200.0;-200.0;-200,0;-200.0;622.0;-200.0;164.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;09.00.00;3,1;-200.0;-200.0;-200,0;-200.0;551.0;-200.0;175.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;10.00.00;1,9;-200.0;-200.0;-200,0;-200.0;349.0;-200.0;130.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;11.00.00;1,7;-200.0;-200.0;-200,0;-200.0;285.0;-200.0;117.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;12.00.00;1,7;-200.0;-200.0;-200,0;-200.0;265.0;-200.0;115.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;13.00.00;1,6;-200.0;-200.0;-200,0;-200.0;222.0;-200.0;106.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;14.00.00;1,6;-200.0;-200.0;-200,0;-200.0;237.0;-200.0;102.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;15.00.00;1,7;-200.0;-200.0;-200,0;-200.0;294.0;-200.0;122.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;16.00.00;2,2;-200.0;-200.0;-200,0;-200.0;329.0;-200.0;138.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;17.00.00;3,3;-200.0;-200.0;-200,0;-200.0;487.0;-200.0;162.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;18.00.00;3,9;-200.0;-200.0;-200,0;-200.0;604.0;-200.0;177.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;19.00.00;5,0;-200.0;-200.0;-200,0;-200.0;728.0;-200.0;190.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;20.00.00;4,2;-200.0;-200.0;-200,0;-200.0;653.0;-200.0;182.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;21.00.00;3,2;-200.0;-200.0;-200,0;-200.0;509.0;-200.0;163.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;22.00.00;1,7;-200.0;-200.0;-200,0;-200.0;277.0;-200.0;135.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-03;23.00.00;1,5;-200.0;-200.0;-200,0;-200.0;268.0;-200.0;130.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;00.00.00;1,3;-200.0;-200.0;-200,0;-200.0;193.0;-200.0;117.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;01.00.00;1,2;-200.0;-200.0;-200,0;-200.0;167.0;-200.0;104.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;02.00.00;1,3;-200.0;-200.0;-200,0;-200.0;159.0;-200.0;97.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;03.00.00;0,8;-200.0;-200.0;-200,0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;04.00.00;0,6;-200.0;-200.0;-200,0;-200.0;89.0;-200.0;72.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;05.00.00;0,8;-200.0;-200.0;-200,0;-200.0;97.0;-200.0;71.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;06.00.00;0,9;-200.0;-200.0;-200,0;-200.0;182.0;-200.0;94.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;07.00.00;1,1;-200.0;-200.0;-200,0;-200.0;262.0;-200.0;118.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;08.00.00;3,4;-200.0;-200.0;-200,0;-200.0;561.0;-200.0;174.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;09.00.00;3,6;-200.0;-200.0;-200,0;-200.0;540.0;-200.0;170.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;10.00.00;3,1;-200.0;-200.0;-200,0;-200.0;480.0;-200.0;171.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;11.00.00;3,3;-200.0;-200.0;-200,0;-200.0;608.0;-200.0;196.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;12.00.00;3,4;-200.0;-200.0;-200,0;-200.0;584.0;-200.0;191.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;13.00.00;2,8;-200.0;-200.0;-200,0;-200.0;426.0;-200.0;165.0;-200.0;-200.0;-200;-200;-200;;;2005
2005-01-04;14.00.00;2,6;-200.0;-200.0;-200,0;-200.0;397.0;-200.0;148.0;-200.0;-200.0;-200;-200;-200;;;2005
